sci_name,body mass
Sus bucculentus,
Sus barbatus,
Sus ahoenobarbus,
Suricata suricatta,
Surdisorex schlitteri,
Surdisorex polulus,
Surdisorex norae,
Sundasciurus tenuis,
Sundasciurus steerii,
Sundasciurus samarensis,
Sundasciurus rabori,
Sundasciurus philippinensis,
Sundasciurus moellendorffi,
Sundasciurus mindanensis,
Sundasciurus lowii,
Sundasciurus juvencus,
Sundasciurus jentinki,
Sundasciurus hoogstraali,
Sundasciurus hippurus,
Sundasciurus fraterculus,
Sundasciurus davensis,
Sundasciurus brookei,
Sundamys muelleri,
Sundamys maxi,
Sundamys infraluteus,
Suncus zeylanicus,
Suncus varilla,
Suncus stoliczkanus,
Suncus remyi,
Suncus montanus,
Suncus mertensi,
Suncus megalura,
Suncus malayanus,
Suncus lixus,
Suncus infinitesimus,
Suncus hututsi,
Suncus hosei,
Suncus fellowesgordoni,
Suncus etruscus,
Suncus dayi,
Suncus ater,
Suncus aequatorius,
Submyotodon latirostris,
Stylodipus telum,
Stylodipus sungorus,
Stylodipus andrewsi,
Styloctenium wallacei,
Styloctenium mindorensis,
Sturnira tildae,
Sturnira sorianoi,
Sturnira perla,
Sturnira paulsoni,
Sturnira parvidens,
Sturnira oporaphilum,
Sturnira nana,
Sturnira mordax,
Sturnira mistratensis,
Sturnira magna,
Sturnira luisi,
Sturnira ludovici,
Sturnira koopmanhilli,
Sturnira hondurensis,
Sturnira erythromos,
Sturnira burtonlimi,
Sturnira bogotensis,
Sturnira bidens,
Sturnira bakeri,
Sturnira aratathomasi,
Sturnira angeli,
Strigocuscus celebensis,
Stochomys longicaudatus,
Stenonycteris lanosus,
Stenoderma rufum,
Stenocephalemys ruppi,
Stenocephalemys griseicauda,
Stenocephalemys albocaudata,
Stenocephalemys albipes,
Steatomys pratensis,
Steatomys parvus,
Steatomys opimus,
Steatomys krebsii,
Steatomys jacksoni,
Steatomys cuppedius,
Steatomys caurinus,
Steatomys bocagei,
Srilankamys ohiensis,
Spilogale pygmaea,
Spilogale angustifrons,
Spilocuscus wilsoni,
Spilocuscus papuensis,
Sphaeronycteris toxophyllum,
Sphaerias blanfordi,
Spermophilus xanthoprymnus,
Spermophilus taurensis,
Spermophilus suslicus,
Spermophilus relictus,
Spermophilus ralli,
Spermophilus pygmaeus,
Spermophilus pallidicauda,
Spermophilus musicus,
Spermophilus major,
Spermophilus fulvus,
Spermophilus erythrogenys,
Spermophilus dauricus,
Spermophilus citellus,
Spermophilus brevicauda,
Spermophilus alashanicus,
Spermophilopsis leptodactylus,
Speothos venaticus,
Spalax zemni,
Spalax uralensis,
Spalax microphthalmus,
Spalax istricus,
Spalax graecus,
Spalax giganteus,
Spalax arenarius,
Spalax antiquus,
Soriculus nigrescens,
Soricomys musseri,
Soricomys montanus,
Soricomys leonardocoi,
Soricomys kalinga,
Sorex yukonicus,
Sorex volnuchini,
Sorex veraepacis,
Sorex veraecrucis,
Sorex ventralis,
Sorex vagrans,
Sorex unguiculatus,
Sorex ugyunak,
Sorex tundrensis,0.01
Sorex trowbridgii,
Sorex thibetanus,
Sorex tenellus,
Sorex stizodon,
Sorex sonomae,
Sorex sinalis,
Sorex shinto,
Sorex sclateri,
Sorex saussurei,
Sorex satunini,
Sorex samniticus,
Sorex rohweri,
Sorex roboratus,
Sorex raddei,
Sorex pribilofensis,
Sorex preblei,
Sorex portenkoi,
Sorex planiceps,
Sorex palustris,
Sorex pacificus,
Sorex ornatus,
Sorex orizabae,
Sorex oreopolus,
Sorex neomexicanus,
Sorex nanus,
Sorex monticola,
Sorex mirabilis,
Sorex minutissimus,0.003
Sorex milleri,
Sorex merriami,
Sorex mediopua,
Sorex maritimensis,
Sorex macrodon,
Sorex lyelli,
Sorex longirostris,
Sorex leucogaster,
Sorex kozlovi,
Sorex jacksoni,
Sorex ixtlanensis,
Sorex isodon,
Sorex hoyi,
Sorex hosonoi,
Sorex haydeni,
Sorex granarius,
Sorex gracillimus,
Sorex fumeus,
Sorex excelsus,
Sorex emarginatus,
Sorex dispar,
Sorex daphaenodon,
Sorex cylindricauda,
Sorex coronatus,
Sorex cinereus,
Sorex cansulus,
Sorex camtschatica,
Sorex caecutiens,0.01
Sorex buchariensis,
Sorex bendirii,
Sorex bedfordiae,
Sorex bairdi,
Sorex asper,
Sorex arizonae,
Sorex arcticus,
Sorex antinorii,
Sorex alpinus,
Sooretamys angouya,
Sommeromys macrorhinos,
Solomys sapientis,
Solomys salebrosus,
Solomys salamonis,
Solomys ponceleti,
Solisorex pearsoni,
Smutsia temminckii,
Smutsia gigantea,
Sminthopsis youngsoni,
Sminthopsis psammophila,
Sminthopsis ooldea,
Sminthopsis longicaudata,
Sminthopsis granulipes,
Sminthopsis gilberti,
Sminthopsis dolichura,
Sminthopsis butleri,
Sminthopsis archeri,
Simias concolor,
Sigmodontomys alfari,
Sigmodon toltecus,
Sigmodon ochrognathus,
Sigmodon mascotensis,
Sigmodon leucotis,
Sigmodon hispidus,
Sigmodon hirsutus,
Sigmodon fulviventer,
Sigmodon arizonae,
Sigmodon alstoni,
Sigmodon alleni,
Sicista trizona,
Sicista tianshanica,
Sicista subtilis,
Sicista strandi,
Sicista severtzovi,
Sicista pseudonapaea,
Sicista napaea,
Sicista loriger,
Sicista kluchorica,
Sicista kazbegica,
Sicista concolor,
Sicista caudata,
Sicista caucasica,
Sicista betulina,
Sicista armenica,
Setirostris eleryi,
Semnopithecus vetulus,
Semnopithecus schistaceus,
Semnopithecus priam,
Semnopithecus johnii,
Semnopithecus hypoleucos,
Semnopithecus hector,
Semnopithecus ajax,
Selevinia betpakdalaensis,
Sekeetamys calurus,
Scutisorex thori,
Scutisorex somereni,
Scotozous dormeri,
Scotorepens sanborni,
Scotorepens orion,
Scotorepens greyii,
Scotorepens balstoni,
Scotophilus viridis,
Scotophilus trujilloi,
Scotophilus tandrefana,
Scotophilus robustus,
Scotophilus nux,
Scotophilus nucella,
Scotophilus nigrita,
Scotophilus marovaza,
Scotophilus livingstonii,
Scotophilus leucogaster,
Scotophilus kuhlii,
Scotophilus heathii,
Scotophilus ejetai,
Scotophilus dinganii,
Scotophilus collinus,
Scotophilus celebensis,
Scotophilus borbonicus,
Scotophilus andrewreborii,
Scotonycteris zenkeri,
Scotonycteris occidentalis,
Scotonycteris bergmansi,
Scotomanes ornatus,
Scotoecus pallidus,
Scotoecus hirundo,
Scotoecus albofuscus,
Scotinomys xerampelinus,
Scotinomys teguina,
Scoteanax rueppellii,
Scolomys ucayalensis,
Scolomys melanops,
Scleronycteris ega,
Sciurus yucatanensis,
Sciurus vulgaris,0.24
Sciurus variegatoides,
Sciurus stramineus,
Sciurus spadiceus,
Sciurus sanborni,
Sciurus richmondi,
Sciurus pyrrhinus,
Sciurus pucheranii,
Sciurus oculatus,
Sciurus nayaritensis,
Sciurus lis,
Sciurus igniventris,
Sciurus ignitus,
Sciurus griseus,
Sciurus granatensis,
Sciurus gilvigularis,
Sciurus flammifer,
Sciurus deppei,
Sciurus colliaei,
Sciurus carolinensis,
Sciurus aureogaster,
Sciurus arizonensis,
Sciurus anomalus,
Sciurus alleni,
Sciurus aestuans,
